------------------------------------------------------------
  Preset:           ?                     Total Steps:      1000
  Alpha:            ?                     Batch / Accum:    4 / 2
  Gamma KL:         ?                     Learning Rate:    5e-5
  Layers:           ?                     Loss Mode:        per_token_cb
  Policy:           cb_full_sequence      Loss Weighting:   ?
  Pooling Mode:     ?                     Pooling Policy:   (none)
  Distance:         dl2rc                 Pooling Mask:     ?
  Margins:          3.0 / 20.0            LoRA r/alpha:     16 / 32

2. POOLING DIAGNOSTIC
------------------------------------------------------------
  Decoupled masks: (not found in log)
  (no diagnostic output found in train.log)

3. TRAINING HISTORY
------------------------------------------------------------
   Step |       Loss |  Triplet_B |  Triplet_H |         KL |    Alpha
  ------+------------+------------+------------+------------+---------
     10 |    39.2589 |     0.0044 |    19.7181 |     0.0025 |   4.9775
     20 |    30.0005 |     2.3856 |    15.1153 |     0.1342 |   4.9525
     30 |    10.3501 |    13.8618 |     4.9924 |     1.7208 |   4.9275
     40 |     1.2039 |    23.8791 |     0.0001 |     6.7873 |   4.9025
     50 |     1.1536 |    18.2130 |     0.0072 |     3.2602 |   4.8775
     60 |     1.4066 |    18.0206 |     0.0289 |     2.4236 |   4.8525
     70 |     1.4147 |    16.0255 |     0.0079 |     1.6617 |   4.8275
     80 |     1.7456 |    17.2769 |     0.0067 |     2.2529 |   4.8025
     90 |     1.6190 |    13.7377 |     0.0399 |     1.0861 |   4.7775
    100 |     1.6321 |    12.8884 |     0.0113 |     1.0567 |   4.7525
    110 |     2.1889 |    15.6909 |     0.0152 |     1.3645 |   4.7275
    120 |     1.9326 |    12.7524 |     0.0085 |     1.0980 |   4.7025
    130 |     2.1728 |    11.8115 |     0.1348 |     0.8208 |   4.6775
    140 |     2.2741 |    12.7369 |     0.0229 |     0.8845 |   4.6525
    150 |     2.3564 |    12.5036 |     0.0065 |     0.6988 |   4.6275
    160 |     2.7915 |    13.7406 |     0.0150 |     1.3804 |   4.6025
    170 |     3.0380 |    13.9706 |     0.0373 |     0.7254 |   4.5775
    180 |     2.6707 |    11.4451 |     0.0480 |     0.8404 |   4.5525
    190 |     2.3991 |     9.4849 |     0.0793 |     0.5175 |   4.5275
    200 |     3.1423 |    12.0439 |     0.0723 |     0.5420 |   4.5025
    210 |     3.3709 |    12.4278 |     0.0595 |     0.5582 |   4.4775
    220 |     3.6238 |    13.0611 |     0.0147 |     0.6721 |   4.4525
    230 |     3.3711 |    11.6406 |     0.0109 |     0.5744 |   4.4275
    240 |     4.3297 |    13.6131 |     0.1388 |     0.5118 |   4.4025
    250 |     3.5654 |    11.2670 |     0.0240 |     0.4414 |   4.3775
    260 |     3.7230 |    11.2180 |     0.0429 |     0.4247 |   4.3525
    270 |     4.2360 |    12.2142 |     0.0605 |     0.6000 |   4.3275
    280 |     3.8741 |    10.7269 |     0.0666 |     0.4424 |   4.3025
    290 |     4.9002 |    12.9371 |     0.1170 |     0.6134 |   4.2775
    300 |     4.8622 |    12.8043 |     0.0303 |     0.5588 |   4.2525
    310 |     4.2484 |    10.4761 |     0.1059 |     0.4954 |   4.2275
    320 |     4.4541 |    11.0001 |     0.0313 |     0.3193 |   4.2025
    330 |     4.7946 |    11.1849 |     0.1069 |     0.3275 |   4.1775
    340 |     5.2992 |    11.8769 |     0.1462 |     0.4613 |   4.1525
    350 |     4.7469 |    10.0569 |     0.2082 |     0.3032 |   4.1275
    360 |     5.2098 |    11.3219 |     0.0644 |     0.4358 |   4.1025
    370 |     5.0763 |    10.7266 |     0.0681 |     0.3201 |   4.0775
    380 |     3.0984 |     6.2278 |     0.0833 |     0.2279 |   4.0525
    390 |     5.1295 |    10.3148 |     0.0595 |     0.3094 |   4.0275
    400 |     5.3652 |    10.3727 |     0.1036 |     0.4337 |   4.0025
    410 |     5.7732 |    11.0844 |     0.0566 |     0.2657 |   3.9775
    420 |     6.2037 |    11.4663 |     0.1129 |     0.3149 |   3.9525
    430 |     5.8328 |    10.3618 |     0.1651 |     0.2624 |   3.9275
    440 |     6.5302 |    11.4730 |     0.1343 |     0.3770 |   3.9025
    450 |     6.5248 |    11.4332 |     0.0520 |     0.4041 |   3.8775
    460 |     6.3708 |    10.8292 |     0.0880 |     0.3172 |   3.8525
    470 |     7.1702 |    11.6641 |     0.1994 |     0.3823 |   3.8275
    480 |     5.0025 |     8.0720 |     0.1001 |     0.2383 |   3.8025
    490 |     8.1007 |    12.1380 |     0.4347 |     0.3334 |   3.7775
    500 |     4.3302 |     6.6522 |     0.1143 |     0.1246 |   3.7525
    510 |     5.7306 |     8.0801 |     0.3816 |     0.2694 |   3.7275
    520 |     3.1447 |     4.6475 |     0.0815 |     0.1157 |   3.7025
    530 |     7.1573 |    10.0359 |     0.3380 |     0.3020 |   3.6775
