
3. TRAINING HISTORY
------------------------------------------------------------
   Step |       Loss |  Triplet_B |  Triplet_H |         KL |    Alpha
  ------+------------+------------+------------+------------+---------
     10 |    79.0181 |     0.0000 |    19.8438 |     0.0068 |   9.9550
     20 |    69.2444 |     0.5603 |    17.4703 |     0.2020 |   9.9050
     30 |    41.4439 |     5.9823 |    10.4018 |     1.4530 |   9.8550
     40 |    11.6628 |    17.4039 |     2.5309 |     6.7714 |   9.8050
     50 |     2.6658 |    18.9597 |     0.0758 |     6.4757 |   9.7550
     60 |     3.1194 |    19.3251 |     0.0557 |     5.9431 |   9.7050
     70 |     3.2887 |    16.9917 |     0.0785 |     5.2583 |   9.6550
     80 |     3.6313 |    17.5148 |     0.0238 |     6.8029 |   9.6050
     90 |     3.7430 |    16.4922 |     0.0012 |     5.1495 |   9.5550
    100 |     3.7728 |    14.2091 |     0.0497 |     4.5325 |   9.5050
    110 |     4.5377 |    16.2516 |     0.0075 |     4.9340 |   9.4550
    120 |     4.2365 |    13.9259 |     0.0062 |     3.9285 |   9.4050
    130 |     4.4324 |    13.2376 |     0.0262 |     3.3758 |   9.3550
    140 |     5.0550 |    13.2273 |     0.1037 |     3.4864 |   9.3050
    150 |     5.2200 |    12.6170 |     0.1227 |     2.9513 |   9.2550
    160 |     5.6300 |    13.8213 |     0.0119 |     3.8596 |   9.2050
    170 |     6.2344 |    13.5216 |     0.1214 |     3.0349 |   9.1550
    180 |     5.3255 |    11.5267 |     0.0263 |     2.6597 |   9.1050
    190 |     4.7568 |     9.9228 |     0.0019 |     2.1624 |   9.0550
    200 |     6.2517 |    12.3525 |     0.0090 |     2.4712 |   9.0050
    210 |     6.9596 |    12.1952 |     0.1394 |     2.8140 |   8.9550
    220 |     7.2549 |    12.8851 |     0.0315 |     2.6846 |   8.9050
    230 |     6.8684 |    11.8514 |     0.0012 |     2.3097 |   8.8550
    240 |     8.6664 |    14.1724 |     0.0304 |     2.5483 |   8.8050
    250 |     8.1485 |    12.7587 |     0.0392 |     1.8485 |   8.7550
    260 |    10.1991 |    15.5536 |     0.0034 |     2.9914 |   8.7050
    270 |     8.4430 |    12.0725 |     0.0683 |     2.1757 |   8.6550
    280 |     8.4394 |    11.7705 |     0.0416 |     2.0648 |   8.6050
    290 |     9.8152 |    13.3729 |     0.0164 |     2.2394 |   8.5550
    300 |     9.9600 |    13.0389 |     0.0332 |     2.2383 |   8.5050
    310 |     8.9662 |    11.4726 |     0.0058 |     1.8148 |   8.4550
    320 |     8.9726 |    11.1402 |     0.0053 |     1.4710 |   8.4050
    330 |     9.9187 |    11.8670 |     0.0254 |     1.4799 |   8.3550
    340 |    10.3577 |    11.9137 |     0.0520 |     1.7290 |   8.3050
    350 |     9.9500 |    10.7052 |     0.1677 |     1.0719 |   8.2550
    360 |    11.0367 |    11.6370 |     0.1555 |     1.5225 |   8.2050
    370 |    10.3228 |    11.0749 |     0.0092 |     1.3739 |   8.1550
    380 |     7.8522 |     8.0444 |     0.0480 |     1.3095 |   8.1050
    390 |    10.4964 |    10.3611 |     0.1069 |     1.2979 |   8.0550
    400 |    10.6614 |    10.5652 |     0.0139 |     1.3047 |   8.0050
    410 |    11.4759 |    10.8608 |     0.0906 |     1.3425 |   7.9550
    420 |    12.2299 |    11.5690 |     0.0105 |     1.2460 |   7.9050
    430 |    11.6875 |     9.9191 |     0.3132 |     1.0141 |   7.8550
    440 |    12.8973 |    11.0866 |     0.1996 |     1.6189 |   7.8050
    450 |    12.9668 |    11.3332 |     0.0536 |     1.1741 |   7.7550
    460 |    12.1146 |    10.4351 |     0.0149 |     1.3719 |   7.7050
    470 |    14.1290 |    11.7886 |     0.0726 |     1.2000 |   7.6550
    480 |     9.6963 |     7.9528 |     0.0373 |     0.8253 |   7.6050
    490 |    15.8100 |    12.4584 |     0.1558 |     1.4813 |   7.5550
    500 |     8.0101 |     6.2708 |     0.0487 |     0.5495 |   7.5050
    510 |    11.1944 |     8.7262 |     0.0013 |     1.1305 |   7.4550
    520 |     5.7438 |     4.3410 |     0.0254 |     0.4650 |   7.4050
    530 |    13.3538 |     9.9819 |     0.0232 |     1.0627 |   7.3550
    540 |     7.6901 |     5.4883 |     0.0851 |     0.5665 |   7.3050
    550 |    12.9111 |     9.0667 |     0.1367 |     0.8536 |   7.2550
    560 |    16.7347 |    11.8695 |     0.0121 |     1.3397 |   7.2050
    570 |    16.7170 |    11.5595 |     0.0620 |     1.1251 |   7.1550
    580 |    15.1297 |    10.1442 |     0.1331 |     0.7782 |   7.1050
    590 |    17.2869 |    11.5149 |     0.0918 |     0.8177 |   7.0550
