 (no diagnostic output found in train.log)

3. TRAINING HISTORY
------------------------------------------------------------
   Step |       Loss |  Triplet_B |  Triplet_H |         KL |    Alpha
  ------+------------+------------+------------+------------+---------
     10 |    78.4808 |     0.0003 |    19.7386 |     0.0019 |   9.9400
     20 |    47.5554 |     4.4210 |    11.9695 |     1.0614 |   9.8733
     30 |    12.9092 |    18.6424 |     2.8220 |     6.4177 |   9.8067
     40 |     2.7025 |    20.5014 |     0.0000 |     4.7869 |   9.7400
     50 |     3.2018 |    18.8698 |     0.0200 |     4.2999 |   9.6733
     60 |     3.7786 |    17.8478 |     0.0614 |     2.7543 |   9.6067
     70 |     3.9846 |    16.9793 |     0.0140 |     1.8925 |   9.5400
     80 |     4.0779 |    15.2137 |     0.0124 |     1.5482 |   9.4733
     90 |     4.6504 |    14.1696 |     0.1126 |     1.2893 |   9.4067
    100 |     4.7697 |    14.3625 |     0.0017 |     1.1898 |   9.3400
    110 |     5.3798 |    14.3211 |     0.0398 |     1.3275 |   9.2733
    120 |     7.0609 |    13.8311 |     0.4204 |     1.0994 |   9.2067
    130 |     8.6270 |    14.1964 |     0.6822 |     1.1057 |   9.1400
    140 |     7.2193 |    12.8844 |     0.3381 |     0.8125 |   9.0733
    150 |     8.1676 |    11.2209 |     0.7150 |     0.6258 |   9.0067
    160 |     7.1446 |    12.8819 |     0.0816 |     0.8003 |   8.9400
    170 |    11.7582 |    12.7046 |     1.2864 |     1.0507 |   8.8733
    180 |     7.3963 |    11.9629 |     0.0620 |     1.1176 |   8.8067
    190 |     7.9176 |    12.5204 |     0.0000 |     0.7866 |   8.7400
    200 |     6.4415 |     9.6726 |     0.0000 |     0.6363 |   8.6733
    210 |     4.4723 |     6.3975 |     0.0000 |     0.3680 |   8.6067
    220 |     8.9596 |    12.0219 |     0.0442 |     0.7444 |   8.5400
    230 |     9.5179 |     8.8124 |     0.8147 |     0.6476 |   8.4733
    240 |    14.9592 |     7.2081 |     2.7341 |     0.4767 |   8.4067
    250 |     3.5823 |     4.0881 |     0.0530 |     0.2516 |   8.3400
    260 |     6.7202 |     6.9263 |     0.2170 |     0.4346 |   8.2733
    270 |    20.4067 |     3.7455 |     5.1888 |     0.2834 |   8.2067
    280 |    11.1304 |    10.8818 |     0.2965 |     0.8039 |   8.1400
    290 |     3.0641 |     3.1667 |     0.0000 |     0.2336 |   8.0733
    300 |    35.4450 |     2.0653 |    10.4221 |     0.1384 |   8.0067
    310 |    13.6291 |     9.1445 |     1.3145 |     0.5751 |   7.9400
    320 |    21.9431 |    12.4072 |     2.7618 |     0.8220 |   7.8733
    330 |    14.6038 |    12.6544 |     0.2133 |     0.9120 |   7.8067
    340 |    22.5417 |    10.9936 |     3.2496 |     0.8589 |   7.7400
    350 |     9.0388 |     7.7468 |     0.0000 |     0.3834 |   7.6733
    360 |    12.9472 |     6.5406 |     1.6750 |     0.3304 |   7.6067
    370 |    14.6807 |    11.4377 |     0.1859 |     0.7021 |   7.5400
    380 |     4.3084 |     3.3913 |     0.0009 |     0.2791 |   7.4733
    390 |    18.4922 |     0.6047 |     5.9750 |     0.0805 |   7.4067
    400 |    15.6385 |    10.8672 |     0.3819 |     0.8017 |   7.3400
    410 |    10.8175 |     2.7401 |     2.4302 |     0.1413 |   7.2733
    420 |    12.4250 |     3.4195 |     2.6463 |     0.2459 |   7.2067
    430 |    20.0590 |     6.3145 |     3.8521 |     0.3218 |   7.1400
    440 |    15.4753 |    10.5360 |     0.0000 |     0.6564 |   7.0733
    450 |     7.9796 |     0.6452 |     2.5006 |     0.0627 |   7.0067
    460 |    16.5319 |     9.5059 |     0.7011 |     0.4527 |   6.9400
    470 |    24.7576 |     2.2941 |     7.6958 |     0.1376 |   6.8733
    480 |    15.1502 |     5.3587 |     2.4111 |     0.3072 |   6.8067
    490 |    15.2933 |     3.6198 |     3.4745 |     0.2623 |   6.7400
    500 |    12.3960 |     7.4285 |     0.0000 |     0.4000 |   6.6733
    510 |    14.9712 |     1.7509 |     4.5364 |     0.1198 |   6.6067
    520 |    18.2222 |     0.7745 |     6.4514 |     0.0536 |   6.5400
    530 |    11.5741 |     0.5457 |     4.0955 |     0.0671 |   6.4733
    540 |    19.5322 |     2.8399 |     5.6237 |     0.1678 |   6.4067
    550 |    10.0692 |     0.3965 |     3.6822 |     0.0506 |   6.3400
    560 |    28.7277 |     7.2207 |     6.0426 |     0.9874 |   6.2733
    570 |    10.9664 |     0.3307 |     4.1623 |     0.0498 |   6.2067
    580 |    31.5181 |     1.2512 |    11.8464 |     0.0739 |   6.1400
    590 |     8.1899 |     0.4892 |     2.9736 |     0.0464 |   6.0733
