
2. POOLING DIAGNOSTIC
------------------------------------------------------------
  Decoupled masks: (not found in log)
  (no diagnostic output found in train.log)

3. TRAINING HISTORY
------------------------------------------------------------
   Step |       Loss |  Triplet_B |  Triplet_H |         KL |    Alpha
  ------+------------+------------+------------+------------+---------
     10 |    78.6569 |     0.0015 |    19.6819 |     0.0027 |   9.9910
     20 |    61.2523 |     2.4820 |    15.3363 |     0.1661 |   9.9810
     30 |    25.4672 |    14.3657 |     6.3328 |     1.3168 |   9.9710
     40 |     0.5672 |    28.7242 |     0.0002 |     5.3742 |   9.9610
     50 |     0.5877 |    22.6885 |     0.0066 |     3.8589 |   9.9510
     60 |     0.6516 |    21.6562 |     0.0018 |     3.0930 |   9.9410
     70 |     0.6656 |    19.0082 |     0.0012 |     2.4782 |   9.9310
     80 |     0.7632 |    19.0970 |     0.0006 |     2.7830 |   9.9210
     90 |     0.7693 |    16.7503 |     0.0050 |     1.5271 |   9.9110
    100 |     0.8077 |    16.0250 |     0.0026 |     1.3784 |   9.9010
    110 |     0.9866 |    17.9687 |     0.0003 |     1.8787 |   9.8910
    120 |     0.9231 |    15.3364 |     0.0015 |     1.3132 |   9.8810
    130 |     0.9697 |    14.5428 |     0.0070 |     1.0110 |   9.8710
    140 |     1.0325 |    14.7592 |     0.0005 |     1.1881 |   9.8610
    150 |     1.3555 |    13.0775 |     0.0959 |     0.7600 |   9.8510
    160 |     1.3386 |    14.4624 |     0.0458 |     1.7986 |   9.8410
    170 |     1.2910 |    15.2033 |     0.0003 |     1.0528 |   9.8310
    180 |     1.1255 |    12.4808 |     0.0007 |     1.0647 |   9.8210
    190 |     0.9850 |    10.3303 |     0.0012 |     0.7074 |   9.8110
    200 |     1.2902 |    12.7949 |     0.0033 |     0.6908 |   9.8010
    210 |     1.3775 |    13.0325 |     0.0029 |     0.6566 |   9.7910
    220 |     1.4930 |    13.3013 |     0.0082 |     0.6695 |   9.7810
    230 |     1.4425 |    11.8779 |     0.0201 |     0.5958 |   9.7710
    240 |     1.7899 |    14.4655 |     0.0146 |     0.5891 |   9.7610
    250 |     1.7050 |    13.1008 |     0.0182 |     0.4225 |   9.7510
    260 |     2.0747 |    15.6756 |     0.0101 |     0.6804 |   9.7410
    270 |     1.7306 |    12.8101 |     0.0006 |     0.6488 |   9.7310
    280 |     1.7705 |    12.0955 |     0.0203 |     0.5000 |   9.7210
    290 |     2.0273 |    13.7967 |     0.0071 |     0.6946 |   9.7110
    300 |     2.0921 |    13.8510 |     0.0040 |     0.6470 |   9.7010
    310 |     1.8449 |    11.7047 |     0.0080 |     0.5849 |   9.6910
    320 |     1.8339 |    11.4555 |     0.0007 |     0.4069 |   9.6810
    330 |     2.0332 |    12.2963 |     0.0017 |     0.4041 |   9.6710
    340 |     2.1944 |    12.9088 |     0.0000 |     0.6273 |   9.6610
    350 |     1.9932 |    11.2537 |     0.0066 |     0.3578 |   9.6510
    360 |     2.6341 |    12.3202 |     0.1082 |     0.4977 |   9.6410
    370 |     2.2243 |    11.7048 |     0.0157 |     0.4003 |   9.6310
    380 |     2.4430 |    12.5158 |     0.0169 |     0.5364 |   9.6210
    390 |     2.4435 |    12.5128 |     0.0013 |     0.4117 |   9.6110
    400 |     2.2147 |    11.0133 |     0.0029 |     0.5514 |   9.6010
    410 |     2.5317 |    11.9215 |     0.0232 |     0.3949 |   9.5910
    420 |     2.7005 |    12.7718 |     0.0051 |     0.4063 |   9.5810
    430 |     2.6060 |    11.2718 |     0.0480 |     0.3490 |   9.5710
    440 |     3.0059 |    13.5671 |     0.0051 |     0.6406 |   9.5610
    450 |     2.6742 |    11.6855 |     0.0115 |     0.5096 |   9.5510
    460 |     2.8604 |    12.3149 |     0.0072 |     0.4834 |   9.5410
    470 |     3.2526 |    13.8325 |     0.0000 |     0.6341 |   9.5310
    480 |     2.3052 |     9.5787 |     0.0016 |     0.3450 |   9.5210
    490 |     3.4131 |    13.8228 |     0.0069 |     0.4756 |   9.5110
    500 |     2.0378 |     7.7949 |     0.0235 |     0.2373 |   9.5010
    510 |     2.4436 |     9.1779 |     0.0265 |     0.4795 |   9.4910
    520 |     1.3572 |     5.0090 |     0.0143 |     0.2027 |   9.4810
    530 |     2.9257 |    10.6174 |     0.0292 |     0.4320 |   9.4710
    540 |     1.7689 |     6.4966 |     0.0038 |     0.2362 |   9.4610
    550 |     3.0534 |    10.6966 |     0.0297 |     0.3049 |   9.4510
    560 |     3.4905 |    12.2181 |     0.0177 |     0.5203 |   9.4410
    570 |     3.4653 |    11.9632 |     0.0144 |     0.4440 |   9.4310
    580 |     3.1711 |    10.8514 |     0.0064 |     0.3265 |   9.4210
    590 |     3.6183 |    12.1637 |     0.0084 |     0.2551 |   9.4110
    600 |     3.1719 |    10.4607 |     0.0089 |     0.3019 |   9.4010
    610 |     3.6103 |    11.7604 |     0.0062 |     0.3359 |   9.3910
    620 |     3.3261 |    10.1913 |     0.0441 |     0.3458 |   9.3810
    630 |     4.2332 |    13.0476 |     0.0328 |     0.3518 |   9.3710
    640 |     3.3059 |    10.2407 |     0.0073 |     0.3479 |   9.3610
    650 |     3.2921 |    10.0964 |     0.0022 |     0.3886 |   9.3510
    660 |     2.4101 |     6.9554 |     0.0310 |     0.1290 |   9.3410
    670 |     4.1875 |    12.3819 |     0.0101 |     0.4027 |   9.3310
    680 |     3.2952 |     9.5193 |     0.0153 |     0.3108 |   9.3210
    690 |     3.9101 |    10.9724 |     0.0331 |     0.3243 |   9.3110
    700 |     4.0303 |    11.4160 |     0.0087 |     0.3889 |   9.3010
    710 |     4.2615 |    11.9160 |     0.0079 |     0.3720 |   9.2910
    720 |     3.3425 |     9.2081 |     0.0075 |     0.2051 |   9.2810
    730 |     3.4483 |     9.4242 |     0.0020 |     0.2685 |   9.2710
    740 |     4.4748 |    11.9369 |     0.0158 |     0.2447 |   9.2610
    750 |     4.6743 |    12.1740 |     0.0291 |     0.3250 |   9.2510
    760 |     4.4194 |    11.4842 |     0.0151 |     0.2335 |   9.2410
    770 |     4.0192 |    10.3651 |     0.0073 |     0.2891 |   9.2310
    780 |     2.1428 |     5.4526 |     0.0043 |     0.1335 |   9.2210
