                                                                                                                                                                                                                                                                                                                                                                               1,1           Top
                                                                                                                                                                                                                                                                                                                                                                               ------------------------------------------------------------
   Step |       Loss |  Triplet_B |  Triplet_H |         KL |    Alpha
  ------+------------+------------+------------+------------+---------
     10 |    78.8878 |     0.0019 |    19.7516 |     0.0023 |   9.9850
     20 |    50.2328 |     4.2018 |    12.5812 |     0.8795 |   9.9683
     30 |     1.6917 |    24.8443 |     0.2706 |     9.7967 |   9.9517
     40 |     0.7358 |    20.5491 |     0.0132 |     7.9327 |   9.9350
     50 |     0.8152 |    17.3582 |     0.0243 |     4.0133 |   9.9183
     60 |     0.9265 |    18.2711 |     0.0047 |     3.3093 |   9.9017
     70 |     0.9541 |    16.2938 |     0.0024 |     2.2279 |   9.8850
     80 |     1.1602 |    17.4223 |     0.0010 |     2.3505 |   9.8683
     90 |     1.1381 |    15.0026 |     0.0048 |     1.4295 |   9.8517
    100 |     1.1784 |    14.1313 |     0.0017 |     1.2011 |   9.8350
    110 |     1.8992 |    15.5145 |     0.1228 |     1.4351 |   9.8183
    120 |     1.3887 |    13.9078 |     0.0006 |     1.2119 |   9.8017
    130 |     1.4364 |    13.1503 |     0.0041 |     1.0338 |   9.7850
    140 |     1.5760 |    13.3027 |     0.0072 |     1.0315 |   9.7683
    150 |     1.5976 |    12.5757 |     0.0078 |     0.7428 |   9.7517
    160 |     1.9021 |    13.9017 |     0.0125 |     1.4594 |   9.7350
    170 |     2.0529 |    14.4364 |     0.0033 |     0.8213 |   9.7183
    180 |     1.8123 |    12.0363 |     0.0023 |     0.8905 |   9.7017
    190 |     1.6245 |     9.7020 |     0.0235 |     0.5577 |   9.6850
    200 |     2.1037 |    12.4784 |     0.0074 |     0.5629 |   9.6683
    210 |     2.2618 |    12.8412 |     0.0051 |     0.5334 |   9.6517
    220 |     2.4608 |    13.2561 |     0.0091 |     0.5820 |   9.6350
    230 |     2.3167 |    11.8404 |     0.0133 |     0.5257 |   9.6183
    240 |     2.9198 |    14.4178 |     0.0110 |     0.5047 |   9.6017
    250 |     2.7500 |    12.8840 |     0.0189 |     0.3406 |   9.5850
    260 |     3.4033 |    15.6117 |     0.0070 |     0.5505 |   9.5683
    270 |     2.9012 |    12.2843 |     0.0367 |     0.5393 |   9.5517
    280 |     2.8779 |    12.2155 |     0.0081 |     0.5071 |   9.5350
    290 |     3.4275 |    13.5511 |     0.0408 |     0.6028 |   9.5183
    300 |     3.3824 |    13.5226 |     0.0011 |     0.5842 |   9.5017
    310 |     3.0141 |    11.5506 |     0.0085 |     0.4911 |   9.4850
    320 |     3.0250 |    11.2913 |     0.0047 |     0.3378 |   9.4683
    330 |     3.3491 |    12.1011 |     0.0069 |     0.3319 |   9.4517
    340 |     3.5436 |    12.4852 |     0.0021 |     0.5205 |   9.4350
    350 |     3.3905 |    10.9569 |     0.0526 |     0.3231 |   9.4183
    360 |     3.8173 |    11.9043 |     0.0658 |     0.4730 |   9.4017
