2. POOLING DIAGNOSTIC
------------------------------------------------------------
  Decoupled masks: (not found in log)
  (no diagnostic output found in train.log)

3. TRAINING HISTORY
------------------------------------------------------------
   Step |       Loss |  Triplet_B |  Triplet_H |         KL |    Alpha
  ------+------------+------------+------------+------------+---------
     10 |    78.9240 |     0.0000 |    19.8202 |     0.0056 |   9.9550
     20 |    66.9516 |     1.2000 |    16.8839 |     0.2169 |   9.9050
     30 |    33.5759 |     8.5507 |     8.3582 |     1.8407 |   9.8550
     40 |     2.2064 |    21.8266 |     0.0087 |     7.5286 |   9.8050
     50 |     2.3734 |    18.3503 |     0.0216 |     5.5845 |   9.7550
     60 |     2.7848 |    17.2691 |     0.0502 |     4.8090 |   9.7050
     70 |     2.5428 |    14.2255 |     0.0141 |     3.3478 |   9.6550
     80 |     3.2198 |    15.9522 |     0.0046 |     4.3501 |   9.6050
     90 |     2.9373 |    12.7567 |     0.0156 |     2.9447 |   9.5550
    100 |     3.1802 |    12.6531 |     0.0001 |     3.2551 |   9.5050
    110 |     4.3329 |    15.6431 |     0.0015 |     3.9462 |   9.4550
    120 |     3.8079 |    12.5923 |     0.0022 |     2.9893 |   9.4050
    130 |     4.0415 |    12.3240 |     0.0043 |     2.6376 |   9.3550
    140 |     4.7842 |    12.0737 |     0.1432 |     2.6687 |   9.3050
    150 |     4.9220 |    11.8477 |     0.1248 |     2.0975 |   9.2550
    160 |     5.5208 |    13.2967 |     0.0411 |     3.5282 |   9.2050
    170 |     5.9385 |    13.7916 |     0.0137 |     2.4256 |   9.1550
    180 |     5.4000 |    11.2129 |     0.0895 |     2.0988 |   9.1050
    190 |     4.6815 |     9.5238 |     0.0373 |     1.6398 |   9.0550
    200 |     6.1997 |    12.3196 |     0.0051 |     1.7481 |   9.0050
    210 |     6.6696 |    12.4669 |     0.0290 |     1.6475 |   8.9550
    220 |     7.1912 |    12.8153 |     0.0347 |     1.5548 |   8.9050
    230 |     6.8061 |    11.4805 |     0.0517 |     1.4722 |   8.8550
    240 |     8.5623 |    14.1325 |     0.0183 |     1.4971 |   8.8050
    250 |     8.1157 |    12.6695 |     0.0539 |     1.0779 |   8.7550
    260 |    10.1458 |    15.0184 |     0.1011 |     1.7844 |   8.7050
    270 |     8.4267 |    12.2957 |     0.0292 |     1.4077 |   8.6550
    280 |     8.5236 |    11.5994 |     0.1097 |     1.3285 |   8.6050
    290 |     9.9968 |    13.0844 |     0.1397 |     1.5040 |   8.5550
    300 |    10.1645 |    12.8207 |     0.1500 |     1.5797 |   8.5050
    310 |     9.7262 |    10.7354 |     0.4060 |     1.2909 |   8.4550
    320 |     8.9598 |    11.1321 |     0.0108 |     0.9512 |   8.4050
    330 |     9.6533 |    11.6639 |     0.0037 |     0.9604 |   8.3550
    340 |    10.4324 |    11.8289 |     0.1048 |     1.1635 |   8.3050
    350 |     9.1894 |    10.4309 |     0.0130 |     0.8681 |   8.2550
    360 |    11.4011 |    11.4323 |     0.3304 |     1.0417 |   8.2050
    370 |    10.2167 |    11.0176 |     0.0027 |     0.7965 |   8.1550
    380 |     7.0475 |     6.9805 |     0.1208 |     0.7379 |   8.1050
    390 |    10.2633 |    10.4202 |     0.0261 |     0.7826 |   8.0550
    400 |    10.7104 |    10.6759 |     0.0031 |     0.8551 |   8.0050
    410 |    11.4329 |    10.9155 |     0.0691 |     0.8432 |   7.9550
    420 |    12.1685 |    11.3752 |     0.0633 |     0.8411 |   7.9050
    430 |    11.4208 |    10.0696 |     0.1834 |     0.6990 |   7.8550
